 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
162 ;HD 200595                          ;** ;21 02 48.6194776656 +45 50 56.007764448;2.4905    ;6.486    
163 ;V* V1981 Cyg                       ;LP*;21 02 24.1997590656 +44 47 27.525392304;2.6129    ;6.23     
164 ;HD 199579                          ;Y*O;20 56 34.7779063080 +44 55 29.000891928;1.1507    ;5.96     
165 ;HD 200753                          ;PM*;21 03 43.4666539464 +46 51 47.293431372;12.2102   ;6.310    
166 ;HD 204411                          ;a2*;21 26 51.6219389280 +48 50 06.599806584;8.3796    ;5.31     
167 ;HD 204153                          ;PM*;21 25 19.5488561064 +46 42 51.628763376;29.3328   ;5.580    
168 ;HD 202654                          ;*  ;21 15 37.1781000216 +47 58 26.383932804;2.3671    ;6.441    
169 ;HD 205314                          ;** ;21 32 56.5920346080 +49 58 39.478477980;6.9818    ;5.755    
170 ;HD 206731                          ;*  ;21 42 38.8099919712 +49 36 00.889589448;3.3973    ;6.089    
171 ;* pi.02 Cyg                        ;SB*;21 46 47.6097792927 +49 18 34.454260528;2.2801    ;4.18     
172 ;HD 210715                          ;PM*;22 11 09.8935953888 +50 49 24.294385812;17.8850   ;5.377    
173 ;* bet Lac                          ;** ;22 23 33.6233135918 +52 13 44.568181879;19.3014   ;4.44     
174 ;HD 212071                          ;*  ;22 20 39.5199170904 +50 58 50.932112052;1.734     ;6.370    
175 ;HD 213720                          ;SB*;22 32 18.7224657648 +54 02 13.312669452;4.6265    ;6.370    
176 ;HD 216057                          ;Be*;22 48 47.8965323832 +54 24 53.612429976;4.4303    ;6.124    
177 ;HD 217314                          ;*  ;22 59 10.3408607952 +52 39 16.310428056;4.4551    ;6.293    
178 ;HD 214878                          ;*  ;22 40 18.4069877640 +53 50 45.336101820;9.4485    ;5.920    
179 ;HD 215159                          ;*  ;22 42 20.8089832632 +53 54 31.492297980;2.6189    ;6.106    
180 ;HD 215518                          ;*  ;22 44 49.1179167192 +52 31 01.955564904;3.6622    ;6.410    
181 ;HD 218416                          ;*  ;23 07 10.0549419072 +52 48 59.760688860;8.475     ;6.120    
182 ;V* V1022 Cas                       ;SB*;23 57 08.4720606576 +55 42 20.539344420;15.7172   ;5.561    
183 ;HD 222932                          ;*  ;23 44 48.3962003616 +55 47 58.874099532;6.7246    ;6.440    
184 ;HD 4222                            ;*  ;00 45 17.1736522992 +55 13 17.030998092;9.2342    ;5.410    
185 ;HD 3240                            ;*  ;00 36 08.3101957104 +54 10 06.419675676;6.6398    ;5.076    
186 ;* zet Cas                          ;bC?;00 36 58.2844874846 +53 53 48.877599163;6.6657    ;3.66     
187 ;HD 2952                            ;PM*;00 33 10.3944926208 +54 53 41.949623868;9.1205    ;5.922    
188 ;HD 5128                            ;PM*;00 53 47.5997104680 +52 41 21.459958980;10.7987   ;6.31     
189 ;HD 6211                            ;PM*;01 04 02.3905242984 +52 30 07.782640236;5.0346    ;5.977    
190 ;HD 6540                            ;*  ;01 07 09.4583917800 +53 29 53.465412480;2.2966    ;6.290    
191 ;* mu. Cas                          ;SB*;01 08 16.3029454473 +54 55 12.561201263;130.2881  ;5.17     
192 ;HD 11151                           ;PM*;01 50 57.1281289032 +51 56 00.303705744;22.7021   ;5.951    
193 ;* 2 Per                            ;SB*;01 52 09.3723086736 +50 47 34.054111608;6.8219    ;5.689    
194 ;HD 11335                           ;*  ;01 52 50.7254346336 +51 28 29.411926788;6.6834    ;6.300    
195 ;* 65 And                           ;*  ;02 25 37.4229761208 +50 16 43.063334724;7.6317    ;4.710    
196 ;* 63 And                           ;a2*;02 20 58.2015432888 +50 09 05.385224196;8.5275    ;5.59     
