 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
7655;V* DR Tuc                          ;LP*;23 22 56.7728856888 -60 03 21.024954540;3.3945    ;6.114    
7656;HD 220572                          ;HB*;23 25 19.4647706184 -56 50 56.341542084;10.5993   ;5.597    
7657;HD 220790                          ;HB*;23 27 14.9927333112 -58 28 33.990846708;10.2802   ;5.636    
7658;HD 222095                          ;PM*;23 37 50.9944242011 -45 29 32.467505051;15.3569   ;4.74     
7659;HD 222803                          ;PM*;23 44 01.3214010225 -45 04 59.233482053;13.4484   ;6.09     
7660;* tet Phe                          ;** ;23 39 27.94416 -46 38 16.0796          ;12.68     ;6.09     
7661;* tau Cen                          ;PM*;12 37 42.1640998080 -48 32 28.699293408;24.2953   ;3.86     
7662;HD 109312                          ;PM*;12 33 59.1067463904 -49 54 35.327673864;14.9076   ;6.38     
7663;HD 108309                          ;PM*;12 26 48.1417421363 -48 54 47.499505755;37.2211   ;6.26     
7664;* sig Cen                          ;** ;12 28 02.3821158564 -50 13 50.296708174;7.9249    ;3.91     
7665;HD 109675                          ;*  ;12 36 46.5968944320 -50 20 07.437736212;9.5767    ;6.39     
7666;HD 110506                          ;*  ;12 43 09.1786206456 -56 10 34.418250804;8.0946    ;5.982    
7667;HD 110956                          ;Pu*;12 46 22.7144465193 -56 29 19.735770746;9.7326    ;4.620    
7668;HD 110532                          ;PM*;12 43 28.3215591528 -58 54 09.874004328;6.4573    ;6.42     
7669;* bet Cru                          ;bC*;12 47 43.26877 -59 41 19.5792          ;11.71     ;1.25     
7670;* iot Cru                          ;PM*;12 45 38.0516684592 -60 58 52.756277052;26.1753   ;4.686    
7671;* 39 Cru                           ;Be*;12 41 56.5691823528 -59 41 08.954444508;3.8643    ;4.94     
7672;HD 111613                          ;sg*;12 51 17.9760267672 -60 19 47.240368104;0.4534    ;5.72     
7673;* lam Cru                          ;Be*;12 54 39.1827302030 -59 08 48.129223088;8.7730    ;4.602    
7674;HD 114570                          ;*  ;13 12 48.8027594808 -66 13 36.295702644;10.5705   ;5.897    
7675;* tet Mus                          ;WR*;13 08 07.1531705448 -65 18 21.679426548;0.4613    ;5.53     
7676;HD 115211                          ;V* ;13 17 13.0129912632 -66 47 00.380494680;2.5221    ;4.846    
7677;HD 113919                          ;V* ;13 08 27.8268128856 -67 47 48.348160836;3.017     ;6.34     
7678;* eta Mus                          ;SB*;13 15 14.9353076188 -67 53 40.529009001;8.7196    ;4.780    
7679;V* EZ Mus                          ;a2*;13 28 46.7866924608 -69 37 37.635408696;4.5406    ;6.179    
7680;HD 114371                          ;SB*;13 11 51.4407949680 -69 56 31.257111552;23.6917   ;5.906    
7681;HD 114912                          ;PM*;13 15 25.5973574952 -69 40 45.417878616;11.2522   ;6.371    
7682;* 67 Mus                           ;SB*;13 25 50.3011677024 -70 37 38.109211896;7.9917    ;5.651    
7683;HD 115439                          ;PM*;13 19 18.9820851096 -72 02 08.179162260;6.5556    ;6.044    
7684;HD 115967                          ;** ;13 22 52.6042523475 -72 08 48.182782972;4.2442    ;6.05     
7685;HD 122862                          ;PM*;14 08 27.1634462357 -74 51 01.032946287;34.1491   ;6.02     
7686;HD 118285                          ;Pu*;13 39 11.9901541944 -75 41 01.612763556;3.7743    ;6.323    
7687;* tet Aps                          ;LP*;14 05 19.8809399288 -76 47 48.342695604;8.3808    ;5.50     
7688;HD 126209                          ;*  ;14 29 37.0063392984 -76 43 44.697686520;5.8482    ;6.060    
7689;HD 124099                          ;*  ;14 16 55.1483818008 -77 39 51.197077008;1.6098    ;6.472    
7690;HD 121439                          ;*  ;14 00 32.8114336464 -78 35 23.930826036;4.2166    ;6.079    
7691;* alf Aps                          ;*  ;14 47 51.7110952914 -79 02 41.112796494;6.5509    ;3.798    
7692;* eps Aps                          ;Be*;14 22 23.1931601289 -80 06 32.238438742;6.0885    ;5.052    
7693;HD 169904                          ;*  ;18 42 14.4201465768 -81 48 29.206415628;6.7598    ;6.262    
7694;HD 186154                          ;*  ;19 56 01.6989430464 -81 20 59.427023604;4.8509    ;6.383    
7695;HD 194612                          ;*  ;20 38 18.6063567624 -81 17 20.626122948;4.3006    ;5.889    
7696;HD 193721                          ;*  ;20 33 17.6366059392 -80 57 53.594448768;4.2823    ;5.767    
7697;HD 203955                          ;*  ;21 33 21.1463832624 -80 02 21.694850808;8.1423    ;6.466    
7698;HD 204904                          ;PM*;21 38 56.3800972344 -79 26 33.298976112;15.369    ;6.170    
7699;* nu. Oct                          ;SB*;21 41 28.5420355132 -77 23 24.031541832;51.5172   ;3.728    
7700;HD 208500                          ;*  ;22 01 52.6141251576 -77 39 45.152482464;9.7795    ;6.389    
7701;HD 212168                          ;PM*;22 25 51.1550444400 -75 00 56.476290528;42.7219   ;6.119    
7702;HD 208741                          ;PM*;22 03 03.8227055880 -76 07 06.452629248;15.4736   ;5.926    
7703;HD 210056                          ;PM*;22 11 54.9841578168 -76 06 57.678806160;11.1656   ;6.127    
7704;* nu. Ind                          ;** ;22 24 36.8853892493 -72 15 19.488237466;35.1281   ;5.29     
7705;HD 212211                          ;PM*;22 25 10.6041391056 -70 25 53.836959540;19.4861   ;5.768    
7706;HD 215729                          ;*  ;22 49 17.4705364560 -70 20 52.744069356;10.2089   ;6.333    
7707;* rho Ind                          ;PM*;22 54 39.4819393536 -70 04 25.352060772;37.4641   ;6.05     
7708;HD 215562                          ;*  ;22 47 35.6626496712 -65 33 36.907348428;4.4104    ;6.49     
7709;HD 216187                          ;*  ;22 52 10.0136810380 -63 11 19.204685231;8.7033    ;6.21     
7710;HD 219482                          ;PM*;23 16 57.6874876272 -62 00 04.312068048;48.9174   ;5.647    
7711;HD 219077                          ;PM*;23 14 06.5877117106 -62 42 00.008075788;34.2500   ;6.12     
7712;* gam Tuc                          ;PM*;23 17 25.7564454336 -58 14 08.524954176;44.0808   ;3.98     
7713;V* DQ Gru                          ;dS*;23 23 54.5213186088 -53 48 31.463504820;7.9856    ;6.108    
7714;HD 220440                          ;V* ;23 24 13.2607743528 -51 53 28.224034944;4.8124    ;5.731    
7715;* omi Gru                          ;PM*;23 26 36.5609994960 -52 43 17.679494676;31.4197   ;5.522    
7716;HD 221323                          ;PM*;23 31 26.9614390824 -44 50 36.893177520;8.4607    ;6.020    
7717;HD 109409                          ;PM*;12 34 42.3935608056 -44 40 22.867472928;35.1369   ;5.76     
7718;HD 110287                          ;PM*;12 41 22.9847572656 -46 08 44.100022272;4.5432    ;5.816    
7719;* w Cen                            ;PM*;12 42 35.4513079543 -48 48 47.197138463;16.8384   ;4.66     
7720;HD 111519                          ;*  ;12 50 19.4856133872 -48 27 34.357864140;5.7325    ;6.257    
7721;* gam Cen                          ;** ;12 41 31.04008 -48 57 35.5375          ;25.06     ;2.17     
7722;* H Cen                            ;Pu*;12 57 04.3514246112 -51 11 55.512895560;7.7665    ;5.159    
7723;HD 111588                          ;*  ;12 50 57.8777637600 -52 47 14.741939544;7.8676    ;5.700    
7724;HD 111790                          ;*  ;12 52 24.5892092016 -53 49 47.756470836;2.1737    ;6.262    
7725;V* V823 Cen                        ;a2*;12 56 58.2225017496 -54 35 14.478644184;8.0811    ;6.485    
7726;HD 111884                          ;PM*;12 53 04.1646472368 -54 57 08.905750164;7.4681    ;5.908    
7727;HD 112244                          ;s*b;12 55 57.1336250856 -56 50 08.900570292;0.7576    ;5.32     
7728;* mu.01 Cru                        ;Pu*;12 54 35.6242611666 -57 10 40.528916907;8.0152    ;4.04     
7729;* mu.02 Cru                        ;Be*;12 54 36.8841589536 -57 10 07.193918388;8.2668    ;5.20     
7730;HD 114835                          ;HB*;13 14 12.0868461792 -58 41 02.180651136;9.5714    ;5.900    
7731;HD 113823                          ;** ;13 07 24.29673 -59 51 37.8238          ;5.88      ;5.98     
7732;HD 114529                          ;El?;13 12 17.5729759027 -59 55 14.026825185;5.2625    ;4.593    
7733;HD 114630                          ;SB*;13 12 55.6906601472 -59 48 59.751756180;23.1989   ;6.197    
7734;HD 114837                          ;PM*;13 14 15.1447379904 -59 06 11.654027964;54.8247   ;4.93     
7735;* J Cen                            ;** ;13 22 37.9331015842 -60 59 18.170162109;8.8824    ;4.509    
7736;HD 116072                          ;EB*;13 22 35.8501250304 -60 58 19.594661016;2.4714    ;6.153    
7737;HD 114461                          ;*  ;13 11 53.0689846728 -63 18 10.791066492;0.5769    ;6.338    
7738;* m Cen                            ;*  ;13 24 00.4826883840 -64 32 08.411490672;12.8919   ;4.52     
7739;HD 116457                          ;PM*;13 25 13.9265067624 -64 29 06.537071112;26.2629   ;5.312    
7740;HD 117025                          ;PM*;13 29 07.9098687240 -64 40 32.882662236;10.0338   ;6.07     
7741;HD 117651                          ;*  ;13 33 35.8708435176 -65 37 57.671672700;9.6572    ;6.354    
7742;HD 115149                          ;PM*;13 16 44.9044614144 -65 08 17.733928668;24.8215   ;6.08     
7743;HD 120913                          ;*  ;13 54 49.1103796200 -67 39 07.565364576;3.4823    ;5.705    
7744;HD 120404                          ;*  ;13 51 47.4341580024 -69 24 04.528891980;3.3831    ;5.727    
7745;HD 118344                          ;PM*;13 38 45.7158662640 -70 26 41.392592772;6.9081    ;6.097    
7746;HD 123377                          ;*  ;14 10 30.9008612160 -70 18 19.659939912;1.1569    ;6.040    
7747;HD 131551                          ;*  ;14 59 55.7596907016 -75 01 57.612463680;6.1980    ;6.187    
7748;HD 129899                          ;a2*;14 51 30.0361856688 -77 10 33.495169116;3.5129    ;6.44     
7749;HD 131425                          ;*  ;15 00 11.3018082168 -77 09 37.986351480;3.5348    ;5.920    
7750;* R Aps                            ;PM*;14 57 52.9835186424 -76 39 45.556897968;7.8879    ;5.359    
7751;HD 128294                          ;*  ;14 41 59.7097819248 -77 00 41.226010272;5.2747    ;6.34     
7752;HD 138289                          ;PM*;15 39 18.3971214240 -77 55 04.819554696;9.0832    ;6.181    
7753;* del01 Aps                        ;LP?;16 20 20.8015157296 -78 41 44.694319377;5.2508    ;4.68     
7754;* del02 Aps                        ;*  ;16 20 26.8576293624 -78 40 02.985710376;5.795     ;5.247    
7755;* gam Aps                          ;PM*;16 33 27.0825153352 -78 53 49.733407072;21.3033   ;3.854    
7756;V* NO Aps                          ;LP*;17 31 27.4666578288 -80 51 32.876056836;4.1479    ;5.856    
7757;HD 162337                          ;PM*;18 05 26.8552529088 -81 29 11.636771676;3.2987    ;6.350    
7758;HD 167714                          ;PM*;18 29 19.9439629824 -80 13 57.745217820;9.0795    ;5.946    
7759;* mu.01 Oct                        ;PM*;20 42 02.9872592976 -76 10 50.131416396;9.7399    ;5.977    
7760;* alf Oct                          ;SB*;21 04 43.0626765409 -77 01 25.566080008;22.1774   ;5.15     
7761;HD 206399                          ;*  ;21 45 28.8287658432 -71 00 31.858979544;4.5238    ;6.011    
7762;* omi Ind                          ;*  ;21 50 47.1751239720 -69 37 45.746495544;6.1458    ;5.505    
7763;HD 212728                          ;PM*;22 28 37.6704330816 -67 29 20.619424428;22.8975   ;5.564    
7764;* nu. Tuc                          ;LP?;22 33 00.0617122198 -61 58 55.638546186;11.5274   ;4.81     
7765;HD 215121                          ;** ;22 44 16.4791985856 -60 29 58.621777476;6.2025    ;6.298    
7766;HD 216169                          ;*  ;22 51 44.9544313872 -59 52 52.973496948;7.8093    ;6.454    
7767;* zet Gru                          ;PM*;23 00 52.8075557832 -52 45 14.799088368;19.9108   ;4.115    
7768;* kap Gru                          ;PM*;23 04 39.6276709728 -53 57 53.647724016;7.9636    ;5.363    
7769;HD 218269                          ;*  ;23 07 14.7743611128 -50 41 12.065595576;24.3269   ;6.24     
7770;HD 218255                          ;*  ;23 07 09.4404494664 -49 36 22.079580192;3.6329    ;6.310    
7771;HD 219507                          ;*  ;23 16 39.7909488720 -44 29 20.988938904;10.1924   ;5.918    
7772;* e Cen                            ;PM*;12 53 06.9063292060 -48 56 35.926377300;10.3334   ;4.33     
7773;* ksi01 Cen                        ;*  ;13 03 33.3051109488 -49 31 38.148894300;14.8276   ;4.826    
7774;* ksi02 Cen                        ;SB*;13 06 54.6394033029 -49 54 22.487112422;6.7962    ;4.27     
7775;V* V1154 Cen                       ;LP*;13 05 30.7780577640 -52 06 56.378405700;2.8994    ;6.418    
7776;V* V824 Cen                        ;a2*;13 10 58.4324574120 -52 34 00.832901520;9.2349    ;6.026    
7777;HD 113902                          ;*  ;13 07 38.2846328832 -53 27 35.149793112;10.3001   ;5.698    
7778;HD 115842                          ;s*b;13 20 48.3393402216 -55 48 02.482824528;0.5828    ;6.09     
7779;HD 115778                          ;*  ;13 20 35.0279845944 -59 46 22.016746596;6.9646    ;6.193    
7780;V* V659 Cen                        ;cC*;13 31 33.4105951824 -61 34 56.518628628;0.889     ;6.49     
7781;HD 121474                          ;PM*;13 57 38.8835769912 -63 41 12.113940624;15.2855   ;4.701    
7782;NGC 5281                           ;OpC;13 46 27.4 -62 54 58                   ;0.603     ;5.9      
7783;HD 118666                          ;PM*;13 40 10.7077539336 -64 34 35.591942280;14.5177   ;5.785    
7784;HD 121557                          ;PM*;13 58 31.2367750512 -65 48 02.401652736;6.8514    ;6.24     
7785;HD 121932                          ;PM*;14 00 52.4447019120 -66 16 08.079784752;13.8056   ;5.948    
7786;HD 124471                          ;bC?;14 16 38.7150863616 -66 35 16.429048656;2.1003    ;5.75     
7787;HD 125835                          ;*  ;14 25 06.3269534256 -68 11 43.201565484;1.0937    ;5.62     
7788;HD 123492                          ;*  ;14 11 01.8786405432 -69 43 09.534195876;14.2867   ;6.065    
7789;HD 130458                          ;** ;14 53 13.57117 -73 11 24.2613          ;9.90      ;5.60     
7790;HD 133981                          ;*  ;15 12 33.9790754112 -72 46 14.163389652;3.8088    ;6.019    
7791;* kap02 Aps                        ;Pu*;15 40 21.3550844640 -73 26 48.001931988;4.5583    ;5.65     
7792;* kap01 Aps                        ;Be*;15 31 30.8221293192 -73 23 22.529543604;3.0798    ;5.49     
7793;HD 138867                          ;*  ;15 41 54.6880594752 -76 04 55.071821100;7.8146    ;5.941    
7794;* bet Aps                          ;PM*;16 43 04.6585772236 -77 31 02.759334193;20.9535   ;4.24     
7795;HD 161988                          ;*  ;17 57 41.6857320504 -76 10 40.621841292;5.2546    ;6.066    
7796;HD 171990                          ;PM*;18 47 49.1318977536 -77 52 05.703216132;23.0381   ;6.392    
7797;* mu.02 Oct                        ;PM*;20 41 44.1016298400 -75 21 02.883008592;25.0327   ;6.44     
7798;HD 200525                          ;** ;21 09 22.4655980824 -73 10 22.140545077;46.9930   ;5.67     
7799;HD 203212                          ;*  ;21 25 18.0466602072 -71 47 56.611414896;6.3782    ;6.090    
7800;V* SX Pav                          ;LP*;21 28 44.9254616915 -69 30 19.382609896;7.8355    ;5.62     
7801;V* Y Pav                           ;C* ;21 24 16.7499375384 -69 44 01.960245204;1.2418    ;6.41     
7802;* omi Pav                          ;V* ;21 13 20.5042060488 -70 07 34.516955676;2.4875    ;5.071    
7803;* alf Tuc                          ;SB*;22 18 30.1124372937 -60 15 34.666361094;17.7324   ;2.82     
7804;HD 213884                          ;PM*;22 35 52.9310826600 -57 53 01.504175028;14.2607   ;6.224    
7805;HD 214632                          ;PM*;22 40 48.9170998344 -57 25 20.348818464;4.7073    ;5.967    
7806;* eta Gru                          ;*  ;22 45 37.8819435648 -53 30 00.431531820;7.2136    ;4.846    
7807;* eps Gru                          ;SB*;22 48 33.2980615128 -51 19 00.713323272;25.7902   ;3.466    
7808;HD 217403                          ;PM*;23 01 07.5784812360 -50 57 00.102274452;6.8342    ;5.672    
7809;* tau03 Gru                        ;Pu*;22 56 47.8002992088 -47 58 09.193451916;12.7125   ;5.714    
7810;* iot Gru                          ;SB*;23 10 21.5282650093 -45 14 48.154088232;15.8566   ;3.877    
7811;HD 114971                          ;** ;13 14 43.2669768240 -48 57 25.309605996;13.1367   ;5.831    
7812;* f Cen                            ;Pu*;13 06 16.7036641232 -48 27 47.846528742;8.1592    ;4.691    
7813;HD 116338                          ;PM*;13 23 52.1144506728 -49 49 22.119065796;8.0443    ;6.464    
7814;HD 115529                          ;*  ;13 18 34.8654803640 -51 17 08.793437280;5.5404    ;6.173    
7815;HD 114772                          ;** ;13 13 23.35287 -50 41 59.3747          ;8.91      ;5.90     
7816;V* V964 Cen                        ;EB*;13 20 37.8253517448 -52 44 52.169369424;8.3902    ;5.443    
7817;HD 119159                          ;Pu*;13 42 56.1103365744 -56 46 04.686383280;1.0764    ;6.00     
7818;HD 118520                          ;** ;13 38 48.9530492472 -57 37 21.776989440;1.6663    ;6.000    
7819;HD 118978                          ;*  ;13 42 01.0842903360 -58 47 13.515787716;4.0767    ;5.372    
7820;HD 119283                          ;*  ;13 43 57.3463346256 -59 14 09.546630324;4.1067    ;6.49     
7821;HD 118384                          ;*  ;13 38 07.6259534320 -58 24 52.741144994;5.0255    ;6.45     
7822;* bet Cen                          ;bC*;14 03 49.40535 -60 22 22.9266          ;8.32      ;0.58     
7823;HD 121901                          ;PM*;14 00 17.3911443816 -61 28 51.698057988;16.8565   ;6.469    
7824;NGC 5316                           ;OpC;13 54 03.8 -61 52 59                   ;0.665     ;6.0      
7825;HD 123151                          ;RG*;14 08 14.2965565608 -63 12 28.621973484;7.5762    ;6.389    
7826;HD 126241                          ;*  ;14 27 07.0866263736 -65 49 17.929103880;2.9092    ;5.828    
7827;HD 125990                          ;*  ;14 25 39.7468365888 -66 10 22.514844180;8.0569    ;6.362    
7828;HD 129954                          ;Be*;14 48 44.5499575944 -66 35 36.822442200;2.4125    ;5.880    
7829;HD 128020                          ;PM*;14 37 46.2568393591 -67 55 55.237030328;36.0191   ;6.04     
7830;HD 130021                          ;*  ;14 49 37.0459883640 -68 56 10.286249388;2.9322    ;6.488    
7831;HD 130942                          ;*  ;14 54 54.0348529176 -69 51 39.451308552;2.2559    ;6.37     
7832;* gam TrA                          ;PM*;15 18 54.5812892550 -68 40 46.368025480;17.1809   ;2.89     
7833;V* X TrA                           ;C* ;15 14 19.1755012584 -70 04 46.113298104;2.8588    ;5.81     
7834;HD 138965                          ;PM*;15 40 11.5557598920 -70 13 40.379510928;12.7224   ;6.424    
7835;HD 137366                          ;*  ;15 30 49.1812877184 -71 39 14.886814896;2.976     ;6.38     
7836;HD 143346                          ;HB*;16 05 55.8192885648 -72 24 03.242827080;11.3858   ;5.685    
7837;HD 154972                          ;PM*;17 16 35.6484964584 -74 31 58.840731120;9.6961    ;6.227    
7838;HD 169570                          ;** ;18 32 55.3416155304 -73 57 56.154006648;9.6146    ;5.888    
7839;HD 164712                          ;PM*;18 11 15.8073245544 -75 53 29.483622420;14.2681   ;5.86     
7840;* phi Oct                          ;*  ;18 23 36.4487369880 -75 02 39.397448688;16.8258   ;5.456    
7841;HD 186219                          ;*  ;19 49 25.3029107256 -72 30 12.161245572;23.5699   ;5.392    
7842;* eps Pav                          ;PM*;20 00 35.5515303087 -72 54 37.812955563;31.2593   ;3.940    
7843;HD 195402                          ;PM*;20 35 51.7198897368 -69 36 38.100685104;5.1485    ;6.084    
7844;* sig Pav                          ;HB*;20 49 18.1715144640 -68 46 35.476061304;10.1251   ;5.407    
7845;* gam Pav                          ;PM*;21 26 26.6049826473 -65 21 58.313057521;108.0102  ;4.22     
7846;HD 205417                          ;*  ;21 38 02.8482682512 -64 49 27.002683956;6.5893    ;6.206    
7847;HD 207229                          ;HB*;21 50 00.1239333072 -64 42 45.135802476;9.5919    ;5.620    
7848;HD 207964                          ;** ;21 55 11.39417 -61 53 11.7947          ;21.52     ;5.96     
7849;* kap02 Ind                        ;PM*;22 05 51.0160103016 -59 38 09.859707528;7.0924    ;5.607    
7850;HD 211726                          ;*  ;22 20 36.2737618752 -57 30 35.214946308;4.3387    ;6.396    
7851;HD 212330                          ;PM*;22 24 56.3686693520 -57 47 50.841196599;49.1648   ;5.31     
7852;HD 215504                          ;PM*;22 46 28.2929260296 -49 41 08.842262136;4.9819    ;6.48     
7853;HD 215405                          ;*  ;22 45 40.7845777776 -46 32 50.367080508;4.0934    ;5.51     
7854;* tau01 Gru                        ;PM*;22 53 37.9323502176 -48 35 53.823928380;30.1918   ;6.04     
7855;HD 115331                          ;SB*;13 17 13.9311522000 -43 58 46.194632364;17.2139   ;5.803    
7856;HD 115912                          ;PM*;13 20 57.7004466240 -46 52 48.027849132;8.9821    ;5.742    
7857;HD 116226                          ;*  ;13 23 02.5993874832 -48 33 46.042468740;2.0315    ;6.360    
7858;HD 117919                          ;** ;13 34 28.9569448224 -48 16 19.782081552;0.9819    ;6.319    
7859;HD 116836                          ;** ;13 27 06.3858489 -49 08 37.354857      ;2.29      ;6.31     
7860;HD 116862                          ;*  ;13 27 20.6557029840 -49 22 52.649250132;1.5443    ;6.257    
7861;V* V744 Cen                        ;LP*;13 39 59.8072612685 -49 56 59.855085294;6.35      ;6.00     
7862;* K Cen                            ;*  ;13 29 25.2542678376 -51 09 54.473494356;7.1201    ;5.030    
7863;HD 119193                          ;V* ;13 42 54.6335904000 -50 47 24.844966620;3.1156    ;6.410    
7864;V* V827 Cen                        ;a2*;13 44 16.0025041176 -51 00 44.822666448;7.4422    ;6.440    
7865;* eps Cen                          ;bC*;13 39 53.25774 -53 27 59.0081          ;7.63      ;2.30     
7866;* N Cen                            ;Pu*;13 52 04.8623039016 -52 48 41.506341048;10.7449   ;5.257    
7867;HD 120908                          ;*  ;13 53 43.0934737824 -53 22 23.956349160;3.5055    ;5.873    
7868;HD 119727                          ;SB*;13 46 14.4944012784 -54 41 00.121906896;9.71      ;6.42     
7869;HD 121384                          ;PM*;13 56 32.9436065448 -54 42 16.783257240;24.8068   ;6.01     
7870;HD 122438                          ;PM*;14 03 26.5063325736 -56 12 48.363935220;6.2277    ;5.923    
7871;V* V883 Cen                        ;SB*;14 08 56.2530021000 -59 16 36.154960536;3.2785    ;6.339    
7872;HD 125158                          ;PM*;14 19 51.5027170776 -61 16 22.705691232;21.1588   ;5.23     
7873;Cl Lynga 2                         ;OpC;14 24 20.4 -61 19 41                   ;1.034     ;6.4      
7874;HD 129092                          ;** ;14 43 28.1337424080 -62 57 59.888378340;1.1366    ;6.408    
7875;* 26 Cir                           ;cC*;14 52 35.2587595008 -63 48 35.356730796;1.9624    ;5.96     
7876;HD 129422                          ;PM*;14 45 17.3365585320 -62 52 32.337803676;20.4330   ;5.360    
7877;* alf Cir                          ;a2*;14 42 30.4206520931 -64 58 30.478845491;60.9930   ;3.19     
7878;* eta Cir                          ;PM*;15 04 48.1875657792 -64 01 52.864144968;11.7561   ;5.168    
7879;* zet Cir                          ;Pu*;14 54 42.5860330320 -65 59 27.977958456;2.3291    ;6.09     
7880;HD 133456                          ;V* ;15 07 56.7625704600 -65 16 31.623254292;5.2332    ;6.166    
7881;* eps TrA                          ;PM*;15 36 43.2228431626 -66 19 01.335451680;15.1994   ;4.104    
7882;HD 133683                          ;*  ;15 09 29.9144273352 -67 05 02.885225784;0.9223    ;5.757    
7883;HD 135737                          ;** ;15 20 40.55057 -67 28 53.4943          ;3.26      ;6.318    
7884;V* R TrA                           ;cC*;15 19 45.7128267840 -66 29 45.743160624;1.5432    ;6.39     
7885;HD 136672                          ;PM*;15 26 14.7238174992 -68 18 32.999797764;9.9685    ;5.892    
7886;* kap TrA                          ;*  ;15 55 29.5996908168 -68 36 10.803406644;2.9495    ;5.097    
7887;* zet TrA                          ;SB*;16 28 28.1422653048 -70 05 03.824909916;82.8699   ;4.899    
7888;HD 148488                          ;*  ;16 34 19.3461786576 -70 59 17.167996932;3.2585    ;5.489    
7889;HD 152010                          ;*  ;16 57 01.0484962944 -71 06 41.921234316;3.2415    ;6.48     
7890;HD 154556                          ;PM*;17 12 19.9342187184 -70 43 15.896336232;14.3386   ;6.214    
7891;* iot Aps                          ;** ;17 22 05.8756445976 -70 07 23.542561992;3.1948    ;5.39     
7892;* zet Pav                          ;PM*;18 43 02.1363351501 -71 25 41.216197810;15.1495   ;4.003    
7893;HD 188097                          ;PM*;19 58 41.2906918272 -69 09 50.240341692;14.4336   ;5.724    
7894;HD 188164                          ;SB*;19 58 52.9850408208 -68 45 45.297814464;10.0607   ;6.374    
7895;HD 189567                          ;PM*;20 05 32.7654888837 -67 19 15.226124354;55.7654   ;6.07     
7896;* bet Pav                          ;*  ;20 44 57.4935921631 -66 12 11.561700749;23.8011   ;3.408    
7897;* ups Pav                          ;*  ;20 41 57.0765328248 -66 45 38.450579292;4.1019    ;5.134    
7898;HD 200751                          ;*  ;21 08 32.6953622856 -63 55 41.734434612;5.9764    ;5.750    
7899;HD 202299                          ;V* ;21 18 00.4896109800 -64 40 53.689311300;5.9457    ;6.313    
7900;* kap01 Ind                        ;SB*;21 58 30.0792344784 -59 00 43.723465560;19.4417   ;6.141    
7901;HD 208796                          ;*  ;22 00 24.2480912400 -55 53 00.552720408;5.2171    ;6.004    
7902;* eps Ind                          ;PM*;22 03 21.6536261624 -56 47 09.522795714;274.8431  ;4.69     
7903;* del Ind                          ;** ;21 57 55.0735349 -54 59 33.274025      ;17.34     ;4.40     
7904;HD 211415                          ;PM*;22 18 15.6133953371 -53 37 37.466806476;71.0938   ;5.39     
7905;V* S Gru                           ;Mi*;22 26 05.4746030880 -48 26 18.747922776;1.7890    ;6.00     
7906;* bet Gru                          ;LP?;22 42 40.05027 -46 53 04.4752          ;18.43     ;2.11     
7907;HD 214953                          ;PM*;22 42 36.8833459086 -47 12 38.925760753;41.9811   ;6.06     
7908;HD 214987                          ;V* ;22 42 43.0816800432 -44 14 52.882380132;3.8904    ;6.067    
7909;HD 118354                          ;*  ;13 37 23.4760845096 -46 25 40.432277640;6.9954    ;5.889    
7910;HD 119938                          ;PM*;13 47 27.6376234800 -50 14 57.434503632;15.5544   ;5.910    
7911;HD 119971                          ;PM*;13 47 38.5389693936 -50 19 14.478304008;5.3133    ;5.446    
7912;HD 121190                          ;Pu*;13 55 12.1422664176 -52 09 38.957327676;8.3224    ;5.71     
7913;HD 121853                          ;HB*;13 59 17.4840079152 -50 22 10.732150956;8.3199    ;5.927    
7914;* M Cen                            ;SB*;13 46 39.3791197929 -51 25 57.926401944;12.1389   ;4.632    
7915;HD 123569                          ;PM*;14 09 54.8142372672 -53 26 20.204852820;18.2253   ;4.736    
7916;HD 124454                          ;*  ;14 15 21.3092796696 -53 30 35.792014356;3.8681    ;6.395    
7917;HD 122844                          ;EB*;14 05 46.4763078960 -54 40 09.707602800;7.811     ;6.204    
7918;HD 124147                          ;*  ;14 13 16.4105180328 -53 39 56.373144012;2.2091    ;5.575    
7919;V* V716 Cen                        ;EB*;14 13 39.8236757256 -54 37 32.261966328;3.9426    ;6.09     
7920;* v Cen                            ;*  ;14 20 19.5426743674 -56 23 11.383769043;2.2511    ;4.35     
7921;HD 124367                          ;Be*;14 14 57.1383087504 -57 05 10.049405532;7.6043    ;5.07     
7922;NGC 5662                           ;OpC;14 34 56.2 -56 38 24                   ;1.288     ;5.5      
7923;HD 126610                          ;*  ;14 28 43.4962976640 -59 11 51.166224888;1.2872    ;6.469    
7924;HD 128917                          ;PM*;14 41 55.9801342152 -58 36 56.993358312;22.296    ;6.204    
7925;HD 129462                          ;RG*;14 44 55.4760417024 -58 28 38.979942384;8.2743    ;6.098    
7926;HD 127724                          ;*  ;14 35 17.0436297504 -60 00 56.311465968;5.5286    ;6.384    
7927;* alf Cen A                        ;SB*;14 39 36.49400 -60 50 02.3737          ;742.12    ;0.01     
7928;* alf Cen                          ;** ;14 39 36.50 -60 50 02.3                ;750.81    ;-0.1     
7929;* alf Cen B                        ;PM*;14 39 35.06311 -60 50 15.0992          ;742.12    ;1.33     
7930;HD 131342                          ;PM*;14 55 34.5596629392 -60 06 50.995267884;18.8519   ;5.180    
7931;HD 134060                          ;PM*;15 10 44.7430146168 -61 25 20.360681976;41.6198   ;6.285    
